8du-3nyljl-c,10866,1
81o-18dde5-l,10428,1
8f3-3vis9k-d,10911,1
8ej-3shfnn-a,10891,1
8de-3l5luh-a,10850,1
fp8-2lu28k-4,20348,1
8du-3nz909-d,10866,1
84n-1ikkht-17,10535,1
7pv-hphqa-89,10219,1
8bg-38h1v8-1h,10780,1
84t-1xa14x-6,10019,1
8du-3nye7o-4,10866,1
8ep-3t87yz-i,10897,1
8bv-3b773g-2,10795,1
8bf-38bkbd-1,10779,1
87s-2l0dvf-e,10648,1
8c2-3clap7-1,10802,1
7q2-hpows-4f,10119,1
8c0-3c4w4p-3,10800,1
7r8-hr5s6-d,10052,1
7yf-x5ilo-3w,10180,2,1
87y-2m3t74-f,10654,2,2
fqf-31bj7k-1,20391,2,5
8du-3o2fyd-1a,10866,2,4
88q-2r0aib-i,10682,2,3
7uz-lxxhq-r,10187,2,1
fk8-tv6u4-7,20168,2,2
7z9-104iev-1t,10180,2,2
7py-hpg6k-4,10006,2,3
7s3-im5gn-1,10083,2,1
7wc-pedk1-1d,10180,2,8
8c1-3cawsv-5,10801,2,8
fo6-298rjg-5,20225,2,2
7w3-onbkc-e,10227,2,8
7vn-nlmxe-7,10180,2,2
896-2ts55h-1i,10698,2,5
7z9-103l8q-i,10180,2,2
7qf-hpqiv-16,10023,2,8
7y2-vk9ll-1t,10437,2,8
8c1-3cdkpm-8,10801,2,8
86n-2dn8vk-c,10607,2,8
85y-295q5l-n,10582,2,7
7r4-hq3d3-aj,10048,2,2
7ys-yiyyw-15,10180,2,1
7ue-kca0x-s,10166,2,1
7we-pi81b-7,10216,2,1
ffu-hpkww-60,20010,2,2
8ch-3f8n1v-1,10817,2,6
7qz-hq2ps-6p,10043,2,1
7v7-mfuq1-1v,10195,2,8
8ep-3taye1-2,10897,2,6
8d6-3jo33k-1,10842,2,1
7vl-ni84u-3,10070,2,2
80v-15g2cg-18,10399,2,3
7vf-n0p6l-o,10203,2,8
878-2hbna0-1n,10602,2,1
8bg-38gzra-1,10780,2,8
7t5-ic1hk-3s,10121,2,7
fqk-332yjx-5,20396,2,6
7qt-hptwk-1m,10037,2,6
7qj-hpiu3-10m,10027,2,5
7y3-vqxcs-29,10299,2,3
7uj-krh3m-x,10171,2,2
83k-1f68vu-5,10496,2,8
7wb-pa32b-b,10315,2,8
7v1-m517r-y,10070,2,2
7to-iyren-5k,10339,2,5
8f3-3vmnj4-b,10911,2,3
8cl-3fvzr1-j,10821,2,4
831-1d8rx3-11,10477,2,2
871-2g7mup-k,10621,2,2
81j-17pqk2-1r,10423,2,8
7q5-hs7j1-2,10019,2,7
86l-2d9ssu-9,10605,2,3
7vl-ni84u-3,10070,2,8
7v0-m7dck-c,10188,2,5
7vl-ni84u-3,10070,2,4
for-2ftp6o-6,20331,2,6
8bu-3azstx-9,10794,2,8
7ts-j5bc0-3u,10144,2,3
8c0-3c5l97-c,10800,2,2
8bu-3azstx-9,10794,2,2
7pu-hqg4u-4s,10002,2,3
ffu-hpkww-60,20010,2,1
fns-217yr2-3,20296,2,3
856-241n16-p,10554,2,3
848-1hd1ou-6q,10019,2,2
7yv-yx3dx-1d,10359,2,2
8cy-3ie533-1,10834,2,4
8ch-3f8n1v-1,10817,2,5
7z9-104iev-1t,10180,2,8
7px-hpmt8-df,10119,2,4
88a-2o5k01-c1,10666,2,4
80f-13kyuo-1c,10383,2,2
7w3-okw4t-1f,10227,2,2
7rn-hqlnt-s,10067,2,6
83q-1fsl12-19,10502,2,1
8ca-3dw4o0-3,10810,2,3
7q1-hpkn2-2m,10009,2,3
7rn-hqlnt-s,10067,2,8
7rd-hqe74-h6,10217,2,2
7q1-hpkn2-2m,10009,2,2
8cy-3i6zvr-3,10834,2,1
80f-13p4vr-14,10383,2,8
7ui-knv86-1t,10180,2,6
